component_id;xml_type;property;data_container;actions;invoke;required;visible;enabled;editable_readonly;validator;formatter;generator;lookup_contract;java_references;source_parent;target_parent;allowed_visual_change
positionHeaderGroupBox;groupBox;-;-;-;-;-;true;-;-;-;-;-;-;-;layout(root);SAME(разобран: контейнер шапки расформировывается);stylename,reparent
labelOpenPosition;label;-;-;-;-;-;true;-;-;-;-;-;-;@Inject Label<String> labelOpenPosition | setTopLabel();positionHeaderHBox;edit-sidebar-identity (edit-sidebar-title);stylename,width,reparent
signDraftLabel;label;-;-;-;-;-;true;-;-;-;-;-;-;@Inject Label<String> signDraftLabel | setTopLabel();positionHeaderHBox;edit-sidebar-identity (edit-sidebar-subtitle);stylename,width,reparent
labelTopComissionRecrutier;label;-;-;-;-;-;true;-;-;-;-;-;-;@Inject Label<String> labelTopComissionRecrutier | setTopLabel();positionHeaderHBox;edit-sidebar-summary или edit-toolbar-actions;stylename,width,reparent
labelTopComissionResearcher;label;-;-;-;-;-;true;-;-;-;-;-;-;@Inject Label<String> labelTopComissionResearcher | setTopLabel();positionHeaderHBox;edit-sidebar-summary или edit-toolbar-actions;stylename,width,reparent
projectLogoImage;ovaFallbackImage;-;-;-;-;-;true;-;-;-;-;-;-;@Inject OvaFallbackImage projectLogoImage | initProjectImagesOnOpen();positionHeaderHBox;edit-sidebar-visual (open-position-editor-logo-box), 88x88;stylename,width,height,reparent
projectOwnerImage;ovaFallbackImage;-;-;-;-;-;true;-;-;-;-;-;-;@Inject OvaFallbackImage projectOwnerImage | initProjectImagesOnOpen();positionHeaderHBox;edit-sidebar-visual (парное, 70x70 или 88x88 по решению арбитра);stylename,width,height,reparent
closedVacancyInfoLabel;label;-;-;-;-;-;true;-;-;-;-;-;-;@Inject Label<String> closedVacancyInfoLabel | onClosedVacancyTimerTimerAction;positionHeaderGroupBox;edit-sidebar-warning;stylename,width,reparent
vacansyIDTextField;textField;vacansyID;openPositionDc;-;-;false;true;-;-;-;-;-;-;@Inject TextField<String> vacansyIDTextField;vacancyNameHBox;edit-card/accordion секция 'Идентификаторы и статус' (row title);stylename,width,reparent
vacansyNameField;textField;vacansyName;openPositionDc;-;-;true;true;-;-;-;-;-;-;@Inject TextField<String> vacansyNameField | @Subscribe("vacansyNameField");vacancyNameHBox;edit-card/accordion секция 'Идентификаторы и статус' (row title);stylename,width,reparent
gradeLookupPickerField;lookupPickerField;grade;openPositionDc;picker_lookup;-;false;true;-;-;-;-;-;optionsContainer=gradeDc;@Inject LookupPickerField<Grade> gradeLookupPickerField | @Subscribe("gradeLookupPickerField");vacancyNameHBox;edit-card/accordion секция 'Идентификаторы и статус' (row title);stylename,width,reparent
