component_id;xml_type;property;data_container;source_parent;target_parent;allowed_visual_change;java_references
tabOpenPosition;tab;-;-;tabSheetOpenPosition;SAME (tabSheetOpenPosition);margin,spacing (сохранить как есть);нет ссылок по id (инвариант первой вкладки)
mainTabScrollBox;scrollBox;-;-;tabOpenPosition;SAME (tabOpenPosition);stylename,width,height;нет ссылок в Java
citiesLabelHBox;vbox;-;-;mainTabScrollBox;SAME (mainTabScrollBox);stylename,width,spacing;нет ссылок в Java (id legacy)
openPositionEditorCardsRow1;hbox;-;-;citiesLabelHBox;SAME (citiesLabelHBox) — вертикализация через CSS (flex-direction: column);stylename,width,spacing,flex-direction (SCSS);нет ссылок в Java
openPositionEditorIdentifiersCard;groupBox;-;-;openPositionEditorCardsRow1;SAME (openPositionEditorCardsRow1, колонка) — карточка 100% сверху;stylename,width,spacing,margin;нет ссылок в Java | тест: edit-accordion-section+showAsPanel+collapsable/collapsed сохранить
commandOrVacancyGroupBox;groupBox;-;-;openPositionEditorCardsRow1;SAME (openPositionEditorCardsRow1, колонка) — карточка 100% ниже (требование B);stylename,width,spacing,margin;нет ссылок в Java | тест: edit-accordion-section+showAsPanel+collapsable сохранить
vacancyNameHBox;hbox;-;-;openPositionEditorIdentifiersCard;SAME (openPositionEditorIdentifiersCard) — строка 1: ID+Вакансия (требование E);stylename (row-title),expand,spacing,width;нет ссылок в Java
gradeActionRowHBox;hbox;-;-;НЕТ (новый визуальный контейнер);openPositionEditorIdentifiersCard — строка 2: Грейд+кнопка (требование E);stylename (field-row row-grade),expand=gradeLookupPickerField,spacing,width;нет ссылок в Java (новый id)
vacancyTitleSpacerHBox;hbox;-;-;openPositionEditorIdentifiersCard;SAME (openPositionEditorIdentifiersCard);stylename (open-position-editor-spacer, display:none — сохранить);нет ссылок в Java
commandFieldHBox;groupBox;-;-;openPositionEditorIdentifiersCard;SAME (openPositionEditorIdentifiersCard);stylename,width,spacing;нет ссылок в Java | тест: edit-accordion-section+showAsPanel+collapsable сохранить
vacansyIDTextField;textField;vacansyID;openPositionDc;vacancyNameHBox;SAME (vacancyNameHBox) — ID ограничен ~130px (flex 0 1 130px);stylename,width,box.expandRatio,align;@Inject TextField (338) | getValue (1928) | тест: edit-form-control сохранить
vacansyNameField;textField;vacansyName;openPositionDc;vacancyNameHBox (expand);SAME (vacancyNameHBox, expand) — Вакансия растягивается;stylename,width,box.expandRatio,expand;@Inject TextField (159) | @Subscribe("vacansyNameField") (1453) | чтения (1620-1653) | required сохранить | тест: edit-form-control
